Q_target Mean,Q_target Std,Q_target Max,Q_target Min,Actor Loss,Critic Loss,Actions Mean,Actions Std,Actions Max,Actions Min,Mid Actions Mean,Mid Actions Std,Mid Actions Max,Mid Actions Min,Latent Actions Mean,Latent Actions Std,Latent Actions Max,Latent Actions Min,Latent Actions Norm Mean,Latent Actions Norm Std,Latent Actions Norm Max,Latent Actions Norm Min,Perturbation Norm Mean,Perturbation Norm Std,Perturbation Norm Max,Perturbation Norm Min,Current_Q Mean,Current_Q Std,Current_Q Max,Current_Q Min,Training Epochs,Eval_critic/Reward,Eval_critic/Return,Eval_critic/Average_Q,Eval_critic/Error Mean,Eval_critic/Error Std,Eval_critic/MSE,Eval_critic/Positive Error Percentage,Eval_critic/Positive Error Mean,Eval_critic/Positive Error Std,Eval_critic/Negative Error Mean,Eval_critic/Negative Error Std,AverageReturn
17.181107,4.3708067,23.84817,3.512949,-17.092794,3.800885,0.057820555,0.57199156,1.0,-1.0,0.026229791,0.5718119,0.9829054,-0.994855,-0.18899056,1.8171723,2.0,-2.0,4.4597287,0.37123135,4.8887386,2.8754551,0.07722625,0.007654493,0.08650699,0.050963257,17.029552,4.022113,23.246044,4.9396067,1,900.5692734809206,235.3252699990087,16.775526,-218.54974249689505,79.46933091935176,54079.364502228564,0.014084507042253521,6.830334330937754,3.495110132182135,-221.7694578801498,75.29537445520167,903.931734645473
30.808416,8.25397,43.35551,3.5692651,-30.709774,4.4067874,0.11340116,0.58784944,1.0,-1.0,0.088960424,0.5893061,0.99192643,-0.99862653,-0.18239684,1.8654294,2.0,-2.0,4.5822988,0.28480312,4.8989472,3.71706,0.08282195,0.00599968,0.08660254,0.052411947,31.02007,8.067804,43.76509,9.366936,2,932.196236619219,239.49612140206708,31.336216,-208.15990485480208,81.71015399678105,50007.095255337925,0.030542210020590255,8.582949840200504,4.834974891581719,-214.9882638168747,73.20880501347887,932.5355651196311
44.32295,11.21857,61.030403,14.324458,-44.33592,0.6459372,0.077861376,0.5793849,1.0,-1.0,0.06472746,0.57609355,0.99574524,-0.9992038,-0.32482922,1.864169,2.0,-2.0,4.628152,0.25308684,4.898879,3.8785424,0.08342168,0.005871336,0.08660256,0.060381144,44.14598,11.223729,61.175373,14.025997,3,923.344374664315,236.66722236377316,44.777023,-191.89019849628508,80.7082728069037,43335.67357841728,0.04218106995884774,5.292874765433334,1.9633135729851845,-200.5738784143629,70.80137532594458,931.608033123086
57.169693,15.740905,75.40485,7.97439,-57.342777,0.50785667,0.07349593,0.627161,1.0,-1.0,0.052742686,0.61595535,0.99335796,-0.9997285,-0.41801512,1.8708618,2.0,-2.0,4.689541,0.23951565,4.898974,3.6125333,0.080959216,0.0074860523,0.08660256,0.05278448,57.164562,15.832222,75.97786,7.194104,4,917.6599739795896,234.5749038160271,57.599964,-176.97493944801036,80.0776642292502,37732.561501039476,0.06472602739726027,5.562368351371211,2.445905839436021,-189.60751036492107,66.25930895152712,913.9410094368761
68.422935,18.347036,99.89269,3.5481594,-68.551895,0.9731662,0.06586825,0.5737453,1.0,-1.0,0.038501184,0.56011343,0.983997,-0.9996585,-0.82306874,1.7381312,2.0,-2.0,4.7050786,0.23127787,4.898944,4.021933,0.082414195,0.0068362937,0.08660256,0.056890704,68.504135,18.430243,99.10482,3.8663836,5,877.9390484586136,228.71549722014018,68.96696,-159.74854180085572,78.72207767311856,31716.76212067226,0.06227883934890304,8.051167622061312,3.981220260118679,-170.89297533234,67.92250769441098,873.0352350186356
83.03568,20.63702,108.75459,11.2625065,-82.98553,1.241127,0.0038262543,0.5741478,1.0,-1.0,-0.01627162,0.55890715,0.99112564,-0.99836683,-0.7800617,1.7542253,2.0,-2.0,4.6974363,0.2211593,4.8989735,4.0072145,0.08155616,0.0074408734,0.08660255,0.05414812,82.532936,20.511156,108.32303,10.6675205,6,860.6566919815492,226.89773572842373,80.06644,-146.83130014604575,76.30038015264792,27381.17871401676,0.06623470122390208,9.27564926051272,4.367625470588134,-157.90442223193887,66.19775782151785,858.1774324664524
92.1479,24.48557,118.655045,6.5918994,-92.11123,1.1143544,0.0062839715,0.58867425,1.0,-1.0,-0.010636885,0.57820827,0.9891966,-0.9987606,-0.88506085,1.6961113,2.0,-2.0,4.6799293,0.2429281,4.8988748,3.8743062,0.08009076,0.008161456,0.08660255,0.051232267,92.05999,24.337673,118.71056,7.8398714,7,865.7870544431838,227.4728746364551,90.818924,-136.65394626734206,74.85820814118712,24278.0523565469,0.07130060910068076,10.244988942170828,4.689455975776431,-147.93206667887486,65.17936309100045,867.9199579160155
103.92373,24.702158,137.9378,25.318085,-103.78503,0.99057853,0.08762677,0.5895769,1.0,-1.0,0.06653876,0.5732491,0.9936772,-0.99858016,-0.55072904,1.847531,2.0,-2.0,4.71757,0.21112403,4.8989673,3.9120872,0.08098635,0.008131163,0.08660256,0.050394237,103.845795,24.618507,136.72668,24.78284,8,844.8466331932275,224.8903119700927,100.23862,-124.6516896759143,72.58816809211064,20807.085886028955,0.08226691042047532,11.58247375336319,5.752828193721223,-136.86391548132764,62.654123014583874,846.4611742385423
111.73511,29.387196,153.25749,10.988884,-112.168755,1.8218133,0.05776909,0.55849713,1.0,-1.0,0.0435308,0.5467149,0.9934173,-0.9964621,-0.4820743,1.8410447,2.0,-2.0,4.6530113,0.28378394,4.898907,3.6118321,0.0799428,0.008218966,0.0866024,0.052609604,111.42568,29.178726,154.97191,10.566813,9,867.3044217814684,225.39110644741834,109.7536,-115.63750511524262,69.79590817752094,18243.5013876027,0.08406923348640057,10.881697937957558,5.3948499723488,-127.25014311241254,60.92497796412778,865.0321996470977
126.368385,28.51723,158.90433,22.439152,-126.81667,1.6427395,0.033456072,0.588788,1.0,-1.0,0.022303037,0.57396173,0.97919226,-0.9960572,-0.4880415,1.8358395,2.0,-2.0,4.6460404,0.25544658,4.8989773,3.7518597,0.08061202,0.0066679083,0.08660255,0.055598415,126.16627,28.470724,158.2891,21.176214,10,861.6060349393099,225.7669111850805,118.74043,-107.02649142360171,66.966709956761,15939.21010887924,0.0849090260435248,9.76611308427797,5.2865301642234375,-117.8633880602003,59.28700319293476,857.9045888969634
133.79208,33.057247,171.50594,27.093658,-134.00104,1.2488611,0.030374564,0.59233195,1.0,-1.0,0.019972555,0.5790987,0.99397695,-0.99938995,-0.30585262,1.8854729,2.0,-2.0,4.671481,0.26189822,4.8989773,3.3035214,0.07910361,0.007457562,0.086602464,0.054434218,133.96344,33.26389,171.52614,26.222761,11,868.4049578438426,225.7563109077367,126.99128,-98.76503577216171,64.9384668765085,13971.53677134777,0.10522598870056497,7.706979787023982,5.607174500229835,-111.28621202971391,56.73882912127166,860.1704230841784
141.86049,35.595207,179.16902,7.6063347,-142.01674,1.8711257,0.077148885,0.59575933,1.0,-1.0,0.07151984,0.5856743,0.988533,-0.99892145,-0.2088898,1.8943518,2.0,-2.0,4.6609917,0.2614918,4.8989396,3.761105,0.07875093,0.008864724,0.08660176,0.05192675,142.31514,36.033207,179.94095,6.0771174,12,864.2234618403796,225.6411267261439,135.04095,-90.6001673487518,62.927742656992166,12168.291119526462,0.12748579545454544,8.715614809748674,6.663624798916358,-105.11150873861817,53.66770087667174,864.5830738258479
143.64536,39.020176,194.05968,40.45381,-144.18794,3.9992433,0.100508474,0.6025456,1.0,-1.0,0.0881,0.5927785,0.9843144,-0.9994224,-0.24362513,1.866701,2.0,-2.0,4.6018333,0.29442608,4.8989644,3.3917851,0.07902958,0.008329021,0.086602546,0.052277256,143.89268,38.846256,192.48299,42.3002,13,862.3547812771224,224.79474003112406,142.21497,-82.57978351846057,60.77821960574841,10513.412624400393,0.16849946789641718,8.00637641916444,6.368485696393947,-100.93662053653732,49.340587082888135,860.6794230120515
149.54167,45.03012,198.74182,3.496948,-149.95775,1.2128918,0.061095227,0.5830926,1.0,-1.0,0.054745026,0.57240707,0.9906395,-0.9996142,-0.23751809,1.8700991,2.0,-2.0,4.6067295,0.3164681,4.8989797,3.2636266,0.07721347,0.010621465,0.08660227,0.047955368,149.51584,44.833157,197.35936,3.7882767,14,859.4777649362055,224.99384175867866,149.35312,-75.64072481906818,58.57036854170997,9152.007322265725,0.1872993221548341,8.58028294694553,7.142778117115625,-95.05074636303534,46.88131736284006,859.6051464772756
159.055,48.327286,206.59062,11.879795,-159.34294,5.6420374,0.0734443,0.5842837,1.0,-1.0,0.06562651,0.5711781,0.98768526,-0.9997868,-0.3558117,1.8933817,2.0,-2.0,4.7116003,0.2642022,4.8989797,3.1476524,0.080706865,0.0067339167,0.08660256,0.0576554,158.52022,48.645397,206.48506,10.547291,15,878.010155295901,226.71342650339759,156.30385,-70.40958817282258,55.58495173309076,8047.196965836507,0.15594405594405594,9.306652249785035,7.221978085437328,-85.13760939423229,47.538514953072685,873.8498065664384
