Q_target Mean,Q_target Std,Q_target Max,Q_target Min,Actor Loss,Critic Loss,Actions Mean,Actions Std,Actions Max,Actions Min,Mid Actions Mean,Mid Actions Std,Mid Actions Max,Mid Actions Min,Latent Actions Mean,Latent Actions Std,Latent Actions Max,Latent Actions Min,Latent Actions Norm Mean,Latent Actions Norm Std,Latent Actions Norm Max,Latent Actions Norm Min,Perturbation Norm Mean,Perturbation Norm Std,Perturbation Norm Max,Perturbation Norm Min,Current_Q Mean,Current_Q Std,Current_Q Max,Current_Q Min,Training Epochs,Eval_critic/Reward,Eval_critic/Return,Eval_critic/Average_Q,Eval_critic/Error Mean,Eval_critic/Error Std,Eval_critic/MSE,Eval_critic/Positive Error Percentage,Eval_critic/Positive Error Mean,Eval_critic/Positive Error Std,Eval_critic/Negative Error Mean,Eval_critic/Negative Error Std,AverageReturn
16.649351,5.09953,27.18797,5.9332128,-17.088133,0.8925577,0.18092586,0.55247015,1.0,-1.0,0.14648484,0.5321394,0.9992314,-0.9994879,0.6439789,1.706691,2.0,-2.0,4.461092,0.25234157,4.889042,3.9089768,0.082760066,0.006001782,0.08660256,0.07071254,16.979618,5.2082925,26.516565,5.9981914,1,39.44709144491388,21.434825499939695,12.432639,-9.00218730617342,11.869504577619633,221.92451521356327,0.26666666666666666,5.756752579234143,3.500273008800096,-14.369074537230713,8.924562372787006,39.310755592197786
30.340338,8.829077,47.790237,4.779577,-30.499325,9.269694,0.18986005,0.5608749,1.0,-1.0,0.17688146,0.5365498,0.9994351,-0.99967223,0.88815844,1.6480783,2.0,-2.0,4.5779457,0.26896295,4.898974,3.8395216,0.077027485,0.010755769,0.08660244,0.01608608,30.482506,8.346541,46.906723,10.877204,2,39.230629851413006,21.353898687286346,23.694523,2.340626341691727,12.189272032513756,154.05688435404323,0.5848214285714286,11.58353458213913,5.189083778843223,-10.678954083024509,5.485346381974449,39.24769532213963
44.31491,11.832188,67.88188,7.5230274,-44.224815,3.2011344,0.14828089,0.5737259,1.0,-1.0,0.1441605,0.5556699,0.99798584,-0.99968576,0.9250006,1.6503693,2.0,-2.0,4.625732,0.28047875,4.8989778,3.798495,0.078286976,0.008543576,0.08660255,0.048527896,43.615868,11.702358,66.649994,6.781503,3,39.59432936076696,21.505307341806564,34.92403,13.418724709144827,11.090415423375642,303.05948708286223,0.8230088495575221,17.443139852675152,7.500675836912393,-5.294805708271187,2.7960593615572003,39.824296091582035
60.40154,16.48013,90.841095,3.6011794,-61.8138,4.610365,0.09735867,0.5749308,1.0,-1.0,0.08990984,0.55924094,0.9897298,-0.9997595,0.64983445,1.7282099,2.0,-2.0,4.511199,0.32101434,4.8942966,3.6250765,0.07843132,0.009026339,0.08660231,0.045544304,60.613144,16.77654,91.222534,7.423118,4,202.40577524350707,83.82286027416905,44.18289,-39.63996954873397,35.50811067921781,2832.1531098321384,0.19246861924686193,20.23098738611035,13.533277752312838,-53.90973130522537,21.440872816630904,201.71114328184606
72.27664,20.838472,117.512634,5.722975,-72.26913,4.108328,0.08897988,0.5656479,1.0,-1.0,0.077458404,0.55092657,0.9974284,-0.99956,0.26475292,1.8407315,2.0,-2.0,4.5438633,0.32190967,4.8989697,3.5191045,0.07900195,0.008019719,0.086602524,0.0501548,71.68373,20.8119,116.52563,3.9581416,5,131.88936688013496,56.05107732854657,40.69671,-15.354368774803188,18.894015819035214,592.7404742426041,0.30939226519337015,8.043626111217202,5.572786567029285,-25.836670483740324,12.159606685570347,132.13921282395654
79.59673,23.124025,130.03343,8.911741,-80.44635,5.077368,0.10862526,0.5600184,1.0,-1.0,0.09308867,0.54489887,0.99964833,-0.99652094,0.07378024,1.8029165,2.0,-2.0,4.406399,0.34548184,4.891432,3.2324886,0.08122429,0.008446858,0.08660255,0.031221338,79.595184,23.16821,124.70393,8.0932455,6,36.388314600954644,20.049803935203418,66.60327,46.55346218217326,8.851037528695779,2245.5657064814177,1.0,46.55346218217326,8.851037528695779,0,0,78.20418053575182
95.99293,28.018667,152.91113,17.26384,-96.17262,4.62097,0.0669362,0.57135355,1.0,-1.0,0.057716973,0.5523771,0.9896272,-0.9998469,0.17355527,1.8197756,2.0,-2.0,4.463153,0.36123675,4.8983774,3.3485346,0.077965185,0.00965297,0.08660256,0.038399305,95.59037,27.829508,150.94809,18.556917,7,327.5279973114685,129.16359025705626,72.3081,-56.85549399610828,48.838377751628734,5617.734338952288,0.2192513368983957,15.02204932673779,17.570623905878353,-77.04028355937326,33.31732122883334,325.6670520042737
102.98337,35.526943,169.49438,0.7413574,-104.335144,54.478676,0.04666336,0.5927299,1.0,-1.0,0.040279444,0.5749866,0.99581474,-0.9995954,0.04316741,1.8469542,2.0,-2.0,4.508751,0.38702556,4.8989797,3.5533848,0.077378415,0.009295369,0.08660256,0.05218416,103.60038,34.515877,172.15276,4.6548624,8,625.9745123507456,199.1493224372386,102.51916,-96.63016972975451,62.68689858056029,13267.036955650616,0.0474559686888454,2.799257349451752,2.32910130378867,-101.58376727812791,60.06730768799153,584.0311382397251
110.98065,39.1727,188.1157,4.4492164,-111.729675,14.112087,0.14849047,0.5687486,1.0,-1.0,0.13578835,0.55159116,0.99626106,-0.9990307,0.20037708,1.8591458,2.0,-2.0,4.5697002,0.31190544,4.8987837,3.6410918,0.07989811,0.0084213065,0.08660256,0.050229866,110.29001,39.117798,187.5784,8.553345,9,388.2168532625521,147.11406822097626,100.49478,-46.619291024444415,48.189994769866814,4495.6338915416345,0.29865534324133053,14.526203330861527,17.28175532115329,-72.65702928674423,30.23149143535724,393.96137060880807
129.23534,36.436424,185.93405,4.288114,-131.83733,7.5494885,0.07370263,0.57966673,1.0,-1.0,0.07172353,0.5615745,0.9983541,-0.9984699,0.19040242,1.8490528,2.0,-2.0,4.539898,0.34759554,4.898815,2.9069245,0.07925624,0.009170803,0.086602524,0.05114768,129.03633,36.28917,184.34451,8.848567,10,440.7314875705467,166.1053858745273,129.17159,-36.933809557343714,67.72515262647377,5950.802586697299,0.3097165991902834,51.24288010006082,31.044806878635356,-76.49695770274809,34.03582694075334,439.5723884776522
