algo,env,dataset,final return,final std,final normalized return,final normalized std,best return,best std,best normalized return,best normalized std
CRR,hopper,medium-v0,830.8,1051.4,26.1,32.3,1583.9,1291.3,49.3,39.7
CRR,hopper,random-v0,335.5,43.2,10.9,1.3,517.1,80.9,16.5,2.5
CRR,walker2d,medium-expert-v0,1889.8,563.9,41.1,12.3,3830.9,283.2,83.4,6.2
CRR,walker2d,medium-replay-v0,1225.4,213.2,26.7,4.6,2052.6,183.2,44.7,4.0
CRR,walker2d,medium-v0,1990.5,801.8,43.3,17.5,2978.7,321.7,64.9,7.0
CRR,walker2d,random-v0,107.6,89.3,2.3,1.9,542.3,79.0,11.8,1.7
DT,halfcheetah,medium-expert-v2,5029.8,284.3,42.8,2.3,8681.8,1383.4,72.2,11.1
DT,halfcheetah,medium-replay-v2,4301.3,252.1,36.9,2.0,4635.3,44.3,39.6,0.4
DT,halfcheetah,medium-v2,5007.2,69.1,42.6,0.6,5100.7,25.6,43.3,0.2
DT,hopper,medium-expert-v2,2815.8,757.5,87.1,23.3,3605.5,11.1,111.4,0.3
DT,hopper,medium-replay-v2,2195.9,429.0,68.1,13.2,2962.0,71.9,91.6,2.2
DT,hopper,medium-v2,1983.7,179.4,61.6,5.5,2352.4,101.4,72.9,3.1
DT,walker2d,medium-expert-v2,4883.0,253.4,106.3,5.5,5034.1,20.0,109.6,0.4
DT,walker2d,medium-replay-v2,2714.7,465.4,59.1,10.1,3564.3,113.9,77.6,2.5
DT,walker2d,medium-v2,2860.3,458.4,62.3,10.0,3677.9,35.1,80.1,0.8
IQL,halfcheetah,medium-expert-v0,6568.9,978.5,55.2,7.9,9084.7,429.9,75.4,3.5
IQL,halfcheetah,medium-replay-v0,4792.1,109.8,40.9,0.9,5001.0,34.4,42.5,0.3
IQL,halfcheetah,medium-v0,4822.6,24.2,41.1,0.2,4892.4,21.2,41.7,0.2
IQL,halfcheetah,random-v0,1505.5,280.9,14.4,2.3,1828.8,153.9,17.0,1.2
IQL,hopper,medium-expert-v0,3634.7,5.4,112.3,0.2,3687.7,10.5,113.9,0.3
IQL,hopper,medium-replay-v0,1218.1,173.9,38.1,5.3,2646.4,582.8,81.9,17.9
IQL,hopper,medium-v0,993.0,10.3,31.1,0.3,3287.4,31.0,101.6,1.0
IQL,hopper,random-v0,341.5,3.0,11.1,0.1,349.9,2.5,11.4,0.1
IQL,walker2d,medium-expert-v0,4240.5,1025.5,92.3,22.3,5204.1,63.5,113.3,1.4
IQL,walker2d,medium-replay-v0,658.1,202.1,14.3,4.4,1186.9,156.9,25.8,3.4
