algo,env,dataset,final return,final std,final normalized return,final normalized std,best return,best std,best normalized return,best normalized std
TD3PlusBC_n_3,halfcheetah,medium-expert-v0,9136.1,1813.5,75.8,14.6,12067.7,232.2,99.5,1.9
TD3PlusBC_n_3,halfcheetah,medium-replay-v0,4962.3,29.4,42.2,0.2,5137.6,35.0,43.6,0.3
TD3PlusBC_n_3,halfcheetah,medium-v0,5001.4,31.2,42.5,0.3,5050.7,13.1,42.9,0.1
TD3PlusBC_n_3,halfcheetah,random-v0,1876.0,104.7,17.4,0.8,2116.8,94.1,19.3,0.8
TD3PlusBC_n_3,hopper,medium-expert-v0,3629.3,6.1,112.1,0.2,3706.5,13.9,114.5,0.4
TD3PlusBC_n_3,hopper,medium-replay-v0,1047.0,40.2,32.8,1.2,1768.8,143.8,55.0,4.4
TD3PlusBC_n_3,hopper,medium-v0,3244.4,6.5,100.3,0.2,3257.7,6.7,100.7,0.2
TD3PlusBC_n_3,hopper,random-v0,351.5,3.5,11.4,0.1,359.8,2.9,11.7,0.1
TD3PlusBC_n_3,walker2d,medium-expert-v0,848.5,599.8,18.4,13.1,5236.5,10.5,114.0,0.2
TD3PlusBC_n_3,walker2d,medium-replay-v0,1418.2,236.2,30.9,5.1,2481.6,103.8,54.0,2.3
TD3PlusBC_n_3,walker2d,medium-v0,3694.4,80.7,80.4,1.8,3827.5,41.7,83.3,0.9
TD3PlusBC_n_3,walker2d,random-v0,234.0,200.9,5.1,4.4,932.4,112.0,20.3,2.4
TD3PlusBC_n_5,halfcheetah,medium-expert-v0,11204.8,569.3,92.5,4.6,12355.7,93.0,101.8,0.7
TD3PlusBC_n_5,halfcheetah,medium-replay-v0,4844.8,84.7,41.3,0.7,5051.8,47.4,42.9,0.4
TD3PlusBC_n_5,halfcheetah,medium-v0,4886.2,18.6,41.6,0.1,4959.9,15.0,42.2,0.1
TD3PlusBC_n_5,halfcheetah,random-v0,2625.0,94.8,23.4,0.8,3051.9,104.3,26.8,0.8
TD3PlusBC_n_5,hopper,medium-expert-v0,3630.2,9.2,112.2,0.3,3693.9,11.3,114.1,0.3
TD3PlusBC_n_5,hopper,medium-replay-v0,1229.4,102.9,38.4,3.2,2166.9,726.9,67.2,22.3
TD3PlusBC_n_5,hopper,medium-v0,1740.8,1037.6,54.1,31.9,3250.3,3.0,100.5,0.1
TD3PlusBC_n_5,hopper,random-v0,349.9,6.3,11.4,0.2,364.7,1.7,11.8,0.1
TD3PlusBC_n_5,walker2d,medium-expert-v0,4876.0,166.1,106.2,3.6,5228.4,20.5,113.9,0.4
TD3PlusBC_n_5,walker2d,medium-replay-v0,1894.9,257.4,41.2,5.6,2747.6,60.8,59.8,1.3
TD3PlusBC_n_5,walker2d,medium-v0,3670.3,33.2,79.9,0.7,3777.3,10.6,82.2,0.2
TD3PlusBC_n_5,walker2d,random-v0,274.2,75.1,5.9,1.6,1076.4,56.5,23.4,1.2
